driverStandingsId,driverId,points,position,wins
13030,31,26.0,6,0
13029,18,16.0,7,0
13028,8,43.0,4,0
13027,30,79.0,2,4
13026,4,96.0,1,6
13073,37,2.0,16,0
13072,36,0.0,24,0
13071,34,0.0,23,0
13070,27,0.0,20,0
13069,35,7.0,13,0
13068,21,49.0,4,1
13067,11,0.0,22,0
13066,33,0.0,21,0
13065,15,10.0,12,0
13064,22,16.0,8,0
13063,23,13.0,9,0
13062,26,0.0,19,0
13061,2,13.0,10,0
13060,24,1.0,18,0
13059,14,10.0,11,0
13058,13,50.0,3,0
13057,32,2.0,17,0
13056,3,4.0,15,0
13055,17,6.0,14,0
13054,31,26.0,6,0
13053,18,21.0,7,0
13052,8,49.0,5,0
13051,30,89.0,2,5
13050,4,100.0,1,6
13097,37,10.0,12,0
13096,36,0.0,24,0
13095,34,0.0,23,0
13094,27,0.0,21,0
13093,35,7.0,14,0
13092,21,49.0,4,1
13091,11,0.0,22,0
13090,33,0.0,20,0
13089,15,10.0,13,0
13088,22,21.0,8,0
13087,23,16.0,10,0
13086,26,0.0,19,0
13085,2,19.0,9,0
13084,24,1.0,18,0
13083,14,14.0,11,0
13082,13,52.0,3,0
13081,32,2.0,17,0
13080,3,4.0,16,0
13079,17,6.0,15,0
13078,31,26.0,7,0
13077,18,31.0,6,1
13076,8,49.0,5,0
13075,30,90.0,2,5
13074,4,100.0,1,6
13122,9,0.0,23,0
13121,37,14.0,11,0
13120,36,0.0,25,0
13119,34,0.0,24,0
13118,27,0.0,21,0
13117,35,7.0,14,0
13116,21,52.0,4,1
13115,11,0.0,22,0
13114,33,0.0,20,0
13113,15,10.0,13,0
13112,22,22.0,8,0
13111,23,18.0,10,0
13110,26,0.0,19,0
13109,2,19.0,9,0
13108,24,1.0,18,0
13107,14,14.0,12,0
13106,13,62.0,3,1
13105,32,2.0,17,0
13104,3,4.0,16,0
13103,17,6.0,15,0
13102,31,26.0,7,0
13101,18,36.0,6,1
13100,8,49.0,5,0
13099,30,96.0,2,5
13098,4,108.0,1,6
13147,9,6.0,15,0
13146,37,14.0,11,0
13145,36,0.0,25,0
13144,34,0.0,24,0
13143,27,0.0,22,0
13142,35,7.0,14,0
13141,21,57.0,4,1
13140,11,0.0,23,0
13139,33,0.0,21,0
13138,15,12.0,13,0
13137,22,25.0,8,0
13136,23,18.0,10,0
13135,26,0.0,20,0
13134,2,20.0,9,0
13133,24,1.0,19,0
13132,14,14.0,12,0
13131,13,62.0,3,1
13130,32,2.0,18,0
13129,3,4.0,17,0
13128,17,6.0,16,0
13127,31,26.0,7,0
13126,18,40.0,6,1
13125,8,57.0,5,0
13124,30,106.0,2,6
13123,4,108.0,1,6
13174,29,0.0,27,0
13173,38,0.0,24,0
13172,9,6.0,16,0
13171,37,18.0,10,0
13170,36,0.0,26,0
13169,34,0.0,25,0
13168,27,0.0,22,0
13167,35,7.0,15,0
13166,21,63.0,3,1
13165,11,0.0,23,0
13164,33,0.0,21,0
13163,15,12.0,13,0
13162,22,28.0,7,0
13161,23,18.0,11,0
13160,26,0.0,20,0
13159,2,22.0,9,0
13158,24,1.0,19,0
13157,14,14.0,12,0
13156,13,62.0,4,1
13155,32,2.0,18,0
13154,3,4.0,17,0
13153,17,7.0,14,0
13152,31,26.0,8,0
13151,18,45.0,6,1
13150,8,57.0,5,0
13149,30,116.0,1,7
13148,4,116.0,2,6
13201,29,0.0,27,0
13200,38,0.0,24,0
13199,9,6.0,16,0
13198,37,18.0,11,0
13197,36,0.0,26,0
13196,34,0.0,25,0
13195,27,0.0,22,0
